Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparation-Mounding and Screefing-WLTSA,SP23TLE003,ITT,2022/07/19,2,2022/07/25,Wyatt Consulting Ltd.,Vernon,British Columbia,Canada,"$352,028.10",2022/08/10,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Prep Deep Ripping Various Locations WLTSA,SP23TLE005,ITT,2022/07/05,0,2022/08/08,Elhdaqox Developments Ltd.,Williams Lake,British Columbia,Canada,"$221,712.00",2022/08/10,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Prep Deep Ripping Various Locations WLTSA,SP23TLE005,ITT,2022/07/05,0,2022/08/08,Elhdaqox Developments Ltd.,Williams Lake,British Columbia,Canada,"$221,712.00",2022/08/10,
Ministry of Forests,Ministry of Forests,Bridge Repairs at Clinton/Loon FSR 21.2KM 64-011,EN23474027,ITT,2022/07/25,1,2022/07/28,Big Rock Construction Company Ltd.,Kamloops,British Columbia,Canada,"$157,750.35",2022/08/09,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Chinook Bridge Construction,EN23TBH008,ITT,2022/07/21,2,2022/07/28,IOTA Construction Ltd.,Chilliwack,British Columbia,Canada,"$649,849.00",2022/08/09,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Champion Lakes Park Ski Cabin Roof Repair and Replacement ,ENV23-BCPKO-15,ITT,2022/04/27,0,2022/05/18,N/A,,,,$0.00,2022/08/09,
Insurance Corporation of BC,Insurance Corporation of BC,Portable Document Format Editing Software,NRFP 1646,NRFP,2022/01/26,0,2022/02/22,ADOBE SYSTEMS INC,San Jose,California,,"$594,600.00",2022/08/09,
Ministry of Forests,Ministry of Forests,PL23LMN001 - East Anderson Fall Plant,PL23LMN001,ITT,2022/07/20,2,2022/07/28,Zanzibar Holdings Ltd.,North Vancouver,British Columbia,Canada,"$194,072.40",2022/08/08,
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Independent Engineer, Steveston Interchange Project ",SIP ENG 2022 10,RFP,2022/04/25,4,2022/04/28,T.Y. Lin International Canada Inc.,Vancouver,British Columbia,Canada,"$300,000.00",2022/08/08,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparation - Mounding/Scarification - WLTSA,SP23TLE004,ITT,2022/06/29,1,2022/08/02,Ridgeview Excavating Ltd.,Vernon,British Columbia,Canada,"$217,511.00",2022/08/08,
District of Kitimat,District of Kitimat,9-2022 Tandem Truck Tender,09-2022 TANDEM TRUCK,ITT,2022/07/05,2,2022/07/07,Falcon Equipment,Surrey,British Columbia,,"$318,335.00",2022/08/05,
District of Kitimat,District of Kitimat,Reversible Plow Blade 2022 Tender,13-2022 TENDER,ITT,2022/06/29,0,2022/07/07,Diamond International Trucks Ltd.,Grande Prairie,Alberta,,"$39,160.00",2022/08/05,
City of Kamloops,City of Kamloops,RFP Materials Management for Biosolids and/or Organics,344852,NRFP,2022/02/02,0,2022/03/16,Arrow Transportation Systems,Kamloops,British Columbia,,$0.00,2022/08/05,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,IT Specialized Talent Search Services,RFP2022-05-26,RFP,2022/05/11,1,2022/05/26,Altis Human Resources (Vancouver) Inc.,Vancouver,British Columbia,,"$2,000,000.00",2022/08/05,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangements - Audio-Visual Prof. Services,13178,RSA,2022/04/06,1,2022/04/12,Frischkorn Audio-Visual,Vancouver,British Columbia,Canada,$0.00,2022/08/04,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangements - Audio-Visual Prof. Services,13178,RSA,2022/04/06,1,2022/04/12,Western Pro Show Rentals Ltd.,Burnaby,British Columbia,Canada,$0.00,2022/08/04,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangements - Audio-Visual Prof. Services,13178,RSA,2022/04/06,1,2022/04/12,New Horizon Productions LTD.,Kelowna,British Columbia,Canada,$0.00,2022/08/04,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangements - Audio-Visual Prof. Services,13178,RSA,2022/04/06,1,2022/04/12,SW Event Technology,Delta,British Columbia,Canada,$0.00,2022/08/04,
Ministry of Health,Ministry of Health,JSRFP for Health Insurance BC (HIBC) Services,ON-10869,JSP,2020/10/16,6,2020/10/21,PBC Health Benefits Society,Victoria,British Columbia,Canada,"$254,131,010.00",2022/08/04,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Manual Brushing,BR23TGC006,ITT,2022/07/08,0,2022/07/28,Mihis Silviculture Contracting,Prince George,British Columbia,Canada,"$153,462.50",2022/08/03,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Lakelse Lake Furlong Twin Spruce Trail Upgrades ,CP23SME012,ITT,2022/06/23,1,2022/07/29,N/A,,,,$0.00,2022/08/03,
Ministry of Forests,Ministry of Forests,EDRR Invasive Plant Surveys & Treatments – South Coast,IV23HRA463,ITT,2022/07/18,0,2022/07/29,Drinkwater Environmental Services Ltd.,Abbotsford,British Columbia,Canada,"$92,400.00",2022/08/03,
Ministry of Attorney General,Ministry of Attorney General,Uniform Shirts for the BC Sheriff Services ,ON-003785,RFP,2022/05/24,1,2022/06/14,Frontline Outfitters Ltd,Bedford,Nova Scotia,Canada,"$64,000.00",2022/08/03,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Lions Gate Bridge North Approach Deck Joint Rehabilitation,12268MJ2022,MOTITT,2022/07/12,4,2022/07/19,Cancelled,Victoria,British Columbia,Canada,$0.00,2022/08/02,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Manual Cutting and Herbaceous Brushing-Various Locations-QTSA,BR23TLH001,ITT,2022/06/29,0,2022/07/21,Jet Forestry Services Ltd.,Duncan,British Columbia,Canada,"$91,699.50",2022/08/02,
WorkSafeBC,WorkSafeBC,Voice of Customer,087-2021,RFI,2021/07/21,2,2021/07/27,Ipsos Limited Partnership,Vancouver,British Columbia,,"$1,960,000.00",2022/08/01,
Interior Health Authority,Interior Health Authority,2021-22-014 RFEI Community Worker Services Oliver & Osoyoos,2021-22-014,REI,2022/04/22,0,2022/05/09,Desert Sun Counselling & Resource Centre Society,Oliver,British Columbia,,"$241,500.00",2022/08/01,
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),Definty Contrast Agent ,PHSA 03853,NOI,2021/11/05,1,2021/11/15,"Lantheus MI Canada, INC",Montreal,Quebec,,"$989,460.00",2022/08/01,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,150m Right Turn Lane & 150m Acceleration Lane at Hwy 17/Tilbury,08900MJ0004,MOTITT,2022/06/22,3,2022/06/29,Eurovia British Columbia Inc.,Surrey,British Columbia,Canada,"$3,514,084.28",2022/07/29,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 3 Wildlife Exclusion Fence - Carbon Bridge to Loop Bridge,25261MJ0000,MOTITT,2022/06/03,0,2022/06/29,Wilco Contractors Southwest Inc.,Calgary,Alberta,Canada,"$644,950.00",2022/07/29,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 3 Wildlife Exclusion Fence - Carbon Bridge to Loop Bridge,25261MJ0000,MOTITT,2022/06/03,0,2022/06/29,Wilco Contractors Southwest Inc.,Calgary,Alberta,Canada,"$644,950.00",2022/07/29,
Islands Trust,Islands Trust,Development Application Approvals Software Solution,RFP-2023.005,RFP,2022/05/17,1,2022/05/27,CityView (N. Harris Computer Corporation),Victoria,British Columbia,,"$324,596.00",2022/07/29,
Ministry of Forests,Ministry of Forests,FSR Maintenance and Grading - North Vancouver Island,13458,ITT,2022/06/07,0,2022/07/06,N/A,,,,$0.00,2022/07/28,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Morfee Mountain Switchback Upgrade,EN23TGF011,ITT,2022/06/16,0,2022/07/13,Nahanni Construction Ltd.,Prince George,British Columbia,Canada,"$177,335.00",2022/07/28,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Forest Service Road Equipment Works - Various Locations - QTSA,EN23TLE014,ITT,2022/06/16,0,2022/07/11,Way Out West Contracting Ltd.,Williams Lake,British Columbia,Canada,"$261,150.94",2022/07/28,
Ministry of Forests,Ministry of Forests,IDF Lidar Calibration (Type L) Sampling,1070-30/OT23FHQ138,ITT,2022/07/13,0,2022/07/27,Hatch Woodlands Ltd.,Salt Spring Island,British Columbia,Canada,"$59,400.00",2022/07/27,
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Engineering Services:Annacis Island Wastewater Treatment Plant ,22-207,RQU,2022/05/17,1,2022/06/14,please see metrovancouver.org for results.,Burnaby,British Columbia,,$0.00,2022/07/27,
Ministry of Forests,Ministry of Forests,Prince George Natural Resource Dist. Archaeological Assessments,CS23DPG804,ITT,2022/06/28,1,2022/07/11,Ridgeline Consulting Ltd.,Prince George,British Columbia,Canada,"$21,950.00",2022/07/27,
Ministry of Forests,Ministry of Forests,Monitor for Road Maintenance and Deactivation Projects,EN23DTR005,ITT,2022/05/19,0,2022/06/15,KDC Forestry Consulting Ltd.,Clearwater,British Columbia,Canada,"$72,000.00",2022/07/27,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparation - Merritt TSA ,SP23TEM663,ITT,2022/07/04,0,2022/07/26,N/A,,,,$0.00,2022/07/27,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparation - Merritt TSA ,SP23TEM663,ITT,2022/07/04,0,2022/07/26,N/A,,,,$0.00,2022/07/27,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Site Preparation - Excavator Mounding,SP23TGC001,ITT,2022/06/30,0,2022/07/18,Ridgeview Excavating Ltd.,Vernon,British Columbia,Canada,"$55,839.91",2022/07/27,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TEK402-FSR Upgrade and Maintenance Kamloops TSA (Clearwater),EN23TEK402,ITT,2022/06/09,0,2022/06/29,BLACK RIVER CONTRACTING LTD,Clearwater,British Columbia,Canada,"$160,750.00",2022/07/26,
Ministry of Forests,Ministry of Forests,Archaeological Assessments and Services–Selkirk Forest District,GS23DSE001,ITT,2022/06/14,1,2022/06/28,N/A,,,Canada,$0.00,2022/07/26,
Procurement Services Branch,Ministry of Forests,McLeod Hand Tool - 48 inch long handle,ITQ-007080,Itq,2022/05/27,0,2022/06/07,Keystone Supplies International Ltd.,Richmond,British Columbia,Canada,"$40,858.65",2022/07/26,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Long-run Printing Services,RFP2022-05-03-A,RFP,2022/05/05,2,2022/05/10,GLENMORE CUSTOM PRINT + PACKAGING,Richmond,British Columbia,,"$2,341,160.00",2022/07/26,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Short-run Printing Services,RFP2022-05-03-B,RFP,2022/05/05,2,2022/05/10,ARC Digital Canada Corp.,Burnaby,British Columbia,,"$2,109,719.00",2022/07/26,
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Early Work Electrical Engineering Services for IIWWTP Upgrade ,22-180,RQU,2022/05/04,0,2022/05/30,see metrovancouver.org for results,Burnaby,British Columbia,,$0.00,2022/07/25,
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Const. of Cloverdale FeCl2 Dosing Facility & Decommissioning Old,22-185,RQU,2022/05/04,1,2022/05/20,see metrovancouver.org for more details,Burnaby,British Columbia,,$0.00,2022/07/25,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,ROSEBERY PROVINCIAL PARK CAMPGROUND ACCESSIBILITY UPGRADES,ENV23-BCPKO-26,ITT,2022/06/10,0,2022/07/08,Silverton Transport Ltd.,Silverton,British Columbia,Canada,"$310,164.39",2022/07/25,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Douglas-fir/Spruce Bark Beetle Recce/Probes and Treatment Layout,FH23TLE002,ITT,2022/06/06,0,2022/06/30,Spectrum Resource Group Inc.,Prince George,British Columbia,Canada,"$165,020.00",2022/07/25,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Douglas-fir/Spruce Bark Beetle Recce/Probes Treatment Layout,FH23TLE003,ITT,2022/06/07,0,2022/06/28,Spectrum Resource Group Inc.,Prince George,British Columbia,Canada,"$384,625.00",2022/07/25,
Ministry of Forests,Ministry of Forests,Wildfire Rehabilitation Specialist-N4 Columbia Fire Zone,GS23DSE003,ITT,2022/06/28,0,2022/07/18,Pioneer Forestry Consulting Ltd.,Golden,British Columbia,Canada,"$47,400.00",2022/07/25,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Brochure Printing Services,RFP2022-05-16,RFP,2022/05/13,3,2022/05/24,Hemlock Printers Ltd.,Burnaby,British Columbia,,"$432,600.00",2022/07/25,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Tsitika and West Coast Multiphase,SD23TCG020,ITT,2022/06/10,0,2022/06/27,Meridian Forest Services Ltd.,Coombs,British Columbia,Canada,"$220,165.02",2022/07/25,
Ministry of Forests,Ministry of Forests,Mechanical Site Preparation of Dead Immature Stands at Bend Rd/H,SP23DPG803,ITT,2022/06/21,4,2022/07/05,Doug Brophy Contracting Ltd.,Prince George,British Columbia,Canada,"$130,750.00",2022/07/25,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparations - Disc Trenching - Various Location,SP23TLE001,ITT,2022/06/20,0,2022/07/11,Green-Link Silviculture Inc.,Williams Lake,British Columbia,Canada,"$142,210.25",2022/07/25,
WorkSafeBC,WorkSafeBC,Access To Industry Standards and Technical Books,232-2022,ITQ,2022/06/13,3,2022/06/20,Techstreet LLC.,Ann Arbor,Michigan,,"$56,681.00",2022/07/23,
District of Summerland,District of Summerland,SOLAR+STORAGE ENGINEERING PROCUREMENT AND CONSTRUCTION RE-ISSUE),2022-08,RFP,2022/04/05,8,2022/04/22,"SkyFire / Wildstone, a Joint Venture Partnership",Penticton,British Columbia,,"$5,232,065.00",2022/07/22,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Slide 5 Berm Repair, Highway 1",86002MN4562,MOTITT,2022/06/28,0,2022/07/20,Drake Excavating (2016) Ltd.,Maple Ridge,British Columbia,Canada,"$204,495.00",2022/07/22,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Slide 5 Berm Repair, Highway 1",86002MN4562,MOTITT,2022/06/28,0,2022/07/20,Drake Excavating (2016) Ltd.,Maple Ridge,British Columbia,Canada,"$204,495.00",2022/07/22,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,"Supply, Deliver and Install Graphics",RFP2022-05-13,RFP,2022/04/20,0,2022/05/13,Can-Design Enterprises Ltd.,Burnaby,British Columbia,,"$702,160.00",2022/07/22,
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),RADIOACTIVE HOT CELLS,PHSA 8351,RFP,2021/12/10,2,2021/12/22,"GENERAL ELECTRIC CANADA, OPERATING AS GE HEALTHCARE",Mississauga,Ontario,,"$3,085,542.00",2022/07/21,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2022-05-31 - Overnight Diesel Refueling Services,RFP2022-05-31,RFP,2022/05/20,1,2022/05/31,N/A,,,,$0.00,2022/07/21,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Dendrochronological Analysis,AA23TII201,ITT,2022/06/28,0,2022/07/19,N/A,,,,$0.00,2022/07/20,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TBH009 - Squamish Road Reconstruction,EN23TBH009,ITT,2022/05/05,0,2022/05/25,Boreal West Forestry Ltd.,100 Mile House,British Columbia,Canada,"$263,500.00",2022/07/20,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TIJ400 - Professional Environmental and Engineering Services,EN23TIJ400,ITT,2022/06/13,0,2022/07/06,Allnorth Consultants Limited,Terrace,British Columbia,Canada,"$62,995.00",2022/07/20,
Ministry of Forests,Ministry of Forests,Wildfire Risk Reduction Fuel Management Prescription For Various,FI23DCC001,ITT,2022/06/24,1,2022/07/08,Strategic Natural Resource Consultants Ltd.,Prince George,British Columbia,Canada,"$63,776.31",2022/07/20,
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Cleveland Dam & Seymour Falls Dam 2022-2026 Dam Monitoring Progr,22-138,RFP,2022/03/30,0,2022/04/20,Klohn Crippen Berger Ltd.,Vancouver,British Columbia,,$0.00,2022/07/19,
Ministry of Forests,Ministry of Forests,Haida Gwaii - Ian Lake Area Forest Service Road Deactivation,EN23NAN805,ITT,2022/06/17,0,2022/07/08,N/A,Queen Charlotte,British Columbia,Canada,$0.00,2022/07/19,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Forest Service Road Upgrade - Cariboo River North - WLTSA,EN23TLE008,ITT,2022/06/06,0,2022/06/29,Way Out West Contracting Ltd.,Quesnel,British Columbia,Canada,"$67,566.50",2022/07/19,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Timber Reconnaissance - Various Locations - Williams Lake TSA,PD23TLE005,ITT,2022/06/28,1,2022/07/04,Forest Floor Contracting Ltd.,Vanderhoof,British Columbia,Canada,"$287,055.00",2022/07/19,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Timber Reconnaissance - Various Locations - Quesnel TSA,PD23TLH010,ITT,2022/06/16,1,2022/07/05,TDB Consultants Inc.,Prince George,British Columbia,Canada,"$801,931.00",2022/07/19,
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),"PHSA 03144 Holter Monitors, Consumables, Software and Services",PHSA 03144,RFP,2020/11/17,2,2020/11/24,"Philips Electronics Ltd., doing business as Philips Canada",Toronto,Ontario,,"$1,700,000.00",2022/07/19,
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),"PHSA 03144 Holter Monitors, Consumables, Software and Services",PHSA 03144,RFP,2020/11/17,2,2020/11/24,"GENERAL ELECTRIC CANADA, operating as GE HEALTHCARE",Mississauga,Ontario,,"$500,000.00",2022/07/19,
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),"PHSA 03144 Holter Monitors, Consumables, Software and Services",PHSA 03144,RFP,2020/11/17,2,2020/11/24,"SPACELABS HEALTHCARE (CANADA), INC.",Mississauga,Ontario,,"$400,000.00",2022/07/19,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Graded Aggregate Seal 25 lane km of Head Bay FSR,17011MJ2022,MOTITT,2022/06/23,0,2022/07/13,O.K. Industries Ltd.,Courtenay,British Columbia,Canada,"$2,952,250.00",2022/07/18,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Graded Aggregate Seal 25 lane km of Head Bay FSR,17011MJ2022,MOTITT,2022/06/23,0,2022/07/13,O.K. Industries Ltd.,Courtenay,British Columbia,Canada,"$2,952,250.00",2022/07/18,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Professional Archaeological Services,AA23TDA002,ITT,2022/06/22,2,2022/06/29,Synergy Land & Environmental Services Ltd.,Fort St John,British Columbia,Canada,"$45,620.00",2022/07/18,
Ministry of Forests,Ministry of Forests,Wildfire Risk Reduction Abatement Surveys,CS23DRM003,ITT,2022/07/05,1,2022/07/15,Vast Resource Solutions Inc.,Cranbrook,British Columbia,Canada,"$42,595.00",2022/07/18,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Helmer Lake Recreation Site DFAA – 2022 Site Construction ,RC232730005,ITT,2022/05/31,4,2022/06/03,N/A,,,,$0.00,2022/07/18,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Sayward / GBR Multiphase,SD23TCG006,ITT,2022/06/02,0,2022/06/23,Strategic Natural Resource Consultants Inc.,Campbell River,British Columbia,Canada,"$541,985.65",2022/07/18,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"Mechanical Site Preparation - Mounding, Screefing, Coarse Woody ",SP23TLE002,ITT,2022/07/12,3,2022/07/18,N/A,,,,$0.00,2022/07/18,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"Mechanical Site Preparation - Mounding, Screefing, Coarse Woody ",SP23TLE002,ITT,2022/07/12,3,2022/07/18,N/A,,,,$0.00,2022/07/18,
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Lenovo Thinkpad Port Replicators,ITQ-007072R,Itq,2022/06/02,0,2022/06/10,Talos Technologies Inc.,Victoria,British Columbia,Canada,"$39,960.70",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,Canadian Opinion Research Ltd. dba McAllister Opinion Research,Victoria,British Columbia,Canada,"$250,000.00",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,Environics Research Group,Toronto,Ontario,Canada,"$250,000.00",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,Justason Market Intelligence Inc,Vancouver,British Columbia,Canada,"$250,000.00",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,"Leger Marketing Alberta, Inc.,",Vancouver,British Columbia,Canada,"$250,000.00",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,Strategic Communications Inc,Vancouver,British Columbia,Canada,"$250,000.00",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,Viewpoints Research Ltd.,Winnipeg,Manitoba,Canada,"$250,000.00",2022/07/15,
Ministry of Finance,Ministry of Finance,Request for Standing Arrangement Advertising Research Services,ON-003736,RMSA,2022/04/04,2,2022/04/12,n/a,Victoria,British Columbia,Canada,$0.00,2022/07/15,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replacement of a culvert with a bridge.,25259MJ0000,MOTITT,2022/06/23,2,2022/06/30,Nahanni Construction Ltd,Prince George,British Columbia,Canada,"$1,231,815.03",2022/07/14,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Snowbank Creek Diversion on Highway 37,37626MJ0001,MOTITT,2022/06/24,1,2022/07/05,West Horizon Contracting Inc.,Smithers,British Columbia,Canada,"$1,657,650.00",2022/07/14,
Ministry of Forests,Ministry of Forests,Maggie Lake FSR 5.9km Bridge Replacement,EN23NAN603,ITT,2022/06/22,2,2022/06/27,IOTA CONSTRUCTION LTD,Chilliwack,British Columbia,Canada,"$370,807.00",2022/07/14,
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,BCParks Picnic Table Type 1 Top and Bench boards (BC locations),ITQ-007025,Itq,2022/04/04,0,2022/04/12,Ennadai Woodworks Inc,Golden,British Columbia,Canada,"$122,214.00",2022/07/14,
Ministry of Children and Family Development,Ministry of Children and Family Development,Early Years Services Delta SRFP,MCFDSF-EY-2022,SRFP,2022/04/28,1,2022/05/10,Diversecity Community Resources Society,Surrey,British Columbia,Canada,"$343,749.78",2022/07/14,
Royal British Columbia Museum,Royal British Columbia Museum,Functional Programmer,RBCM FP 2023 03,RFP,2022/06/08,2,2022/06/13,N/A,,,,$0.00,2022/07/14,
Royal British Columbia Museum,Royal British Columbia Museum,Functional Programmer,RBCM FP 2023 03,RFP,2022/06/08,2,2022/06/13,N/A,,,,$0.00,2022/07/14,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replacement of Elk River Bridge on Highway 28,16850MJ0002,MOTITT,2022/06/17,2,2022/06/28,CMF Construction Ltd.,Nanaimo,British Columbia,Canada,"$8,919,999.93",2022/07/13,
Ministry of Forests,Ministry of Forests,KVR East Maintenance Inspections & Implementations Fife to Midwy,EN23474022,ITT,2022/07/06,3,2022/07/11,SNT Engineering Ltd,Nelson,British Columbia,Canada,"$40,750.00",2022/07/13,
Ministry of Forests,Ministry of Forests,KVR East Maintenance Inspections & Implementations Fife to Midwy,EN23474022,ITT,2022/07/06,3,2022/07/11,SNT Engineering Ltd.,Nelson,British Columbia,Canada,"$40,750.00",2022/07/13,
Ministry of Forests,Ministry of Forests,KVR West Maintenance Inspections & Implementation KV-039 ,EN23474023,ITT,2022/07/06,2,2022/07/11,Cabin resource Management Ltd.,Vernon,British Columbia,Canada,"$44,150.00",2022/07/13,
Ministry of Forests,Ministry of Forests,FS1282 Intent to Direct Award Pelleting 2023 Sowing Season,13425,DirectAward,2022/05/11,0,2022/05/21,CARL EDWARD HAPPEL,Vernon,British Columbia,Canada,"$50,000.00",2022/07/12,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TIJ403 - FSR Maintenance North,EN23TIJ403,ITT,2022/04/22,1,2022/05/05,N/A,,,,$0.00,2022/07/12,
Ministry of Forests,Ministry of Forests,Aerial Overview Survey Northeast Mapsheet,FH23DPG805,ITT,2022/06/15,1,2022/06/27,Industrial Forestry Service Ltd.,Prince George,British Columbia,Canada,"$100,000.00",2022/07/12,
Ministry of Forests,Ministry of Forests,Aerial Overview Survey: Omineca Mapsheets,FH23DPG807,ITT,2022/06/15,1,2022/06/27,Industrial Forestry Service Ltd.,Prince George,British Columbia,Canada,"$100,000.00",2022/07/12,
Ministry of Citizens' Services,Ministry of Citizens' Services,ROBSON SQUARE ASSET LIFECYCLE EXTENSION ELEVATOR MODERNIZATION ,ON-003770,ITT,2022/07/07,8,2022/07/07,Action Electric Ltd.,Burnaby,British Columbia,Canada,"$3,797,202.20",2022/07/12,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Timber Reconnaissance - Various Locations - QTSA,PD23TLH009,ITT,2022/06/16,1,2022/06/23,TDB Consultants Inc.,Prince George,British Columbia,Canada,"$498,815.00",2022/07/12,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Multi-Phase Block & Road Development & Timber Rec in Nass TSA,SD23TIH200,ITT,2022/06/13,0,2022/07/05,N/A,,,,$0.00,2022/07/12,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"Multiphase Block, Road Development & Timber Rec in Kalum TSA  ",SD23TIH204,ITT,2022/06/09,0,2022/06/30,N/A,,,,$0.00,2022/07/12,
Ministry of Forests,Ministry of Forests,Wildfire Risk Reduction Tactical Plan in the Mackenzie FD,1070-20/CS23DMK006,ITT,2022/06/27,1,2022/07/11,N/A,,,,$0.00,2022/07/11,
Ministry of Forests,Ministry of Forests,Commercial Driver for Driving Pickers,1070-30/OT23FHQ062,ITQ,2022/04/07,0,2022/04/29,Byron Rickard Wright Noble dba Noble Adventures,Salmon Arm,British Columbia,Canada,"$15,000.00",2022/07/11,
Regional District of Nanaimo,Regional District of Nanaimo,Interceptor Erosion Protection Construction,22-051,ITT,2022/06/27,2,2022/06/30,N/A,,,,$0.00,2022/07/11,
Regional District of Nanaimo,Regional District of Nanaimo,Interceptor Erosion Protection Construction,22-051,ITT,2022/06/27,2,2022/06/30,N/A,,,,$0.00,2022/07/11,
